                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  0.966,                0.54221,                      1,                0.95672,              0.0002374,              0.0002374,              0.0002374
                      2,                0.67729,                0.83377,                      1,                0.76504,             0.00042833,             0.00042833,             0.00042833
                      3,                 0.5121,                 0.8974,                      1,                 0.6846,             0.00057214,             0.00057214,             0.00057214
                      4,                0.37246,                0.92208,                      1,                0.66792,             0.00050194,             0.00050194,             0.00050194
                      5,                0.27017,                0.96494,                      1,                0.61306,             0.00043126,             0.00043126,             0.00043126
                      6,                0.23207,                0.97857,                      1,                0.58858,             0.00036057,             0.00036057,             0.00036057
                      7,                0.18994,                0.97338,                      1,                0.58391,             0.00028988,             0.00028988,             0.00028988
                      8,                0.17287,                0.98117,                      1,                0.58307,              0.0002192,              0.0002192,              0.0002192
                      9,                0.12451,                0.98766,                      1,                0.57188,             0.00014851,             0.00014851,             0.00014851
                     10,                0.10957,                0.99481,                      1,                0.56107,             7.7826e-05,             7.7826e-05,             7.7826e-05
